HGP,E1VFVN30,HAI,DLG,FIT,FLT,HQC,GEX,PVD,MSN,PVI,VRE,DXG,SJF,AMD,VHM,EVG,HVN,SCR,SFG,VGC,BFC,TCH,PHR,BVH,TDM,HAH,KSB,SKG,BCM,VNS,CNG,TTB,LPB,DAH,HTN,NHA,CSV,DHG,SVC,IJC,FPT,DVP,C32,BIC,BMC,STB,SCD,HCD,CTS,MSH,TNI,BMP,NSC,HBC,SFI,UIC,SAV,TVB,LIX,FMC,GMC,FVN,NHH,VHC,DGC,HSG,VTB,SMB,CLC,HDC,TVS,IDI,DHA,APC,FCM,ACC,BMI,GVR,FUCVREIT,DSN,TNA,CMX,TCL,DQC,GSP,PME,PET,PJT,LBM,PAC,SZL,GDT,KHP,GIL,PGC,MCG,FUESSV50,PAN,VSH
33.15,24.56,2.93,5.16,9.0,6.0,22.4,23.0,114.3,21.55,29.95,25.85,10.6,3.8,69.5,7.77,18.0,12.65,16.2,42.2,30.95,13.1,67.0,54.1,38.9,87.0,34.0,15.2,72.1,13.0,40.5,5.5,14.6,9.13,37.9,29.0,52.9,92.5,102.7,21.65,111.5,58.2,26.6,27.9,16.4,21.55,18.8,11.0,21.45,80.0,5.0,59.7,93.8,22.8,69.8,50.7,21.45,9.94,44.9,68.0,26.3,18.3,17.0,110.5,233.6,21.65,13.0,41.5,39.9,59.5,33.25,26.7,43.0,20.5,6.56,17.1,30.6,25.8,10.3,46.9,11.3,20.9,37.0,28.85,11.7,80.2,43.5,11.4,87.7,35.75,58.6,47.95,11.8,73.2,20.4,5.05,21.5,22.95,37.0,54.9
34.35,24.56,3.0,5.31,9.2,6.14,23.4,23.7,115.0,22.35,30.05,27.0,10.95,3.8,70.3,7.89,18.6,13.3,16.2,40.9,31.5,13.65,65.6,52.9,37.9,88.8,33.7,15.5,73.3,12.7,39.65,5.55,14.95,9.29,37.15,30.9,49.5,92.9,102.7,20.75,111.8,57.9,26.8,26.9,17.2,22.25,18.05,11.1,21.65,78.1,5.12,59.8,93.9,21.95,68.6,51.0,21.22,9.97,44.1,66.5,26.5,18.3,17.4,109.9,229.8,22.6,12.8,41.6,39.65,61.0,33.75,26.2,43.7,21.45,6.6,16.05,30.4,25.15,10.3,46.95,11.35,20.85,36.9,30.0,11.8,80.2,40.7,11.4,88.0,34.8,58.8,48.0,11.9,68.5,20.6,5.21,21.5,23.25,37.0,51.5
34.7,24.56,3.22,5.5,9.6,6.21,23.75,22.9,112.4,21.4,30.15,27.65,10.9,3.84,69.6,8.0,18.65,13.55,16.2,40.1,31.0,13.65,66.0,52.6,37.2,83.0,33.8,15.7,73.1,13.3,39.3,5.69,15.0,9.35,37.1,32.0,48.9,93.9,102.7,19.9,109.9,57.5,26.8,27.85,16.8,22.35,18.75,11.3,21.65,77.0,5.28,59.8,94.4,22.15,67.7,52.4,21.3,10.1,44.5,62.5,24.8,18.1,17.8,102.8,223.6,22.8,13.5,41.5,39.0,61.0,34.4,24.5,44.55,21.45,6.6,15.0,30.7,25.2,10.3,47.0,11.25,19.5,37.6,29.3,11.7,80.2,41.0,11.2,88.0,36.1,59.0,48.5,11.7,69.5,20.65,5.37,21.5,22.85,36.0,51.6
35.45,24.56,3.21,5.68,9.85,6.07,24.0,22.2,110.0,20.7,29.95,28.2,11.15,3.93,68.5,8.12,19.15,13.7,15.81,41.0,29.75,13.9,65.0,53.5,37.1,83.2,34.5,15.9,73.0,13.5,37.2,5.72,15.3,9.22,37.8,33.1,47.5,93.5,102.7,19.25,111.3,58.2,26.9,27.55,16.8,22.8,18.45,11.0,21.95,76.5,5.31,59.3,93.8,21.85,69.2,52.9,20.83,10.2,44.85,62.5,23.2,17.6,17.6,103.0,215.0,23.05,12.8,41.1,38.5,62.5,34.8,23.95,45.2,21.55,6.72,15.0,31.6,25.45,10.3,47.8,11.5,19.5,37.7,29.2,11.6,80.2,41.2,11.3,89.9,35.1,60.0,48.9,11.65,68.8,20.9,5.35,21.5,23.2,34.95,51.0
35.45,24.56,3.0,5.79,9.82,5.68,23.5,22.1,110.0,20.45,29.8,27.3,11.1,3.68,67.72,8.12,18.6,13.3,16.1,40.3,28.8,13.95,63.3,53.6,35.8,82.0,34.5,15.55,73.5,13.5,36.5,5.55,15.05,9.22,37.8,32.6,47.0,93.8,102.7,18.8,111.8,57.6,26.8,26.8,16.65,22.25,18.4,11.0,22.05,73.6,5.02,59.3,92.7,21.8,69.8,50.9,20.62,9.9,43.5,61.9,22.5,17.4,18.0,102.5,214.0,23.2,13.3,41.5,38.1,62.5,34.65,23.55,45.3,21.85,6.5,15.0,31.3,25.5,10.3,47.6,11.4,19.5,37.1,28.85,11.55,80.2,41.2,11.25,89.9,33.3,60.9,48.0,11.45,70.0,21.35,5.0,21.5,23.3,32.7,50.2
35.0,24.56,3.17,5.51,9.82,5.58,23.6,21.9,108.6,20.65,29.6,27.2,10.85,3.56,66.75,8.12,17.85,13.25,15.61,40.2,28.45,13.9,62.9,53.5,35.8,80.0,34.0,14.6,74.4,13.5,36.0,5.59,15.2,8.87,38.7,31.4,46.25,93.0,102.7,18.4,105.6,56.8,26.35,26.85,16.65,22.4,18.4,10.9,22.3,72.5,4.95,59.3,92.3,21.6,70.8,50.9,20.62,9.78,44.6,59.9,21.8,17.4,18.2,102.0,224.9,21.7,13.8,41.4,38.0,62.3,34.6,23.65,45.5,21.9,6.47,14.95,31.01,25.35,10.3,46.8,11.35,19.45,36.0,27.0,11.45,80.2,39.55,11.4,90.0,34.6,61.3,48.0,11.2,69.9,22.6,5.0,21.5,22.2,31.92,49.9
34.45,24.56,3.4,5.3,9.42,5.69,23.2,22.0,110.5,20.65,29.45,27.55,10.9,3.82,65.97,7.93,17.8,13.25,15.31,40.1,28.6,13.55,63.7,52.8,36.5,79.7,34.0,14.8,74.6,13.0,36.25,5.53,15.2,8.91,38.0,30.65,44.7,93.0,102.7,18.15,105.0,56.3,26.25,27.1,16.1,22.75,18.4,11.0,21.7,68.8,5.08,57.1,90.0,21.75,70.5,50.05,20.62,9.5,45.15,59.2,21.65,17.8,17.35,100.5,228.5,21.2,13.55,41.6,38.0,60.9,34.1,23.75,45.55,21.9,6.24,15.0,30.54,25.35,10.3,47.0,11.0,19.45,35.75,25.25,11.2,80.2,39.55,11.4,90.5,34.45,61.5,48.6,11.3,67.2,21.4,4.96,21.5,21.8,30.9,51.0
34.9,24.56,3.43,5.1,8.81,5.45,21.7,20.6,109.0,19.3,28.1,26.5,10.45,3.82,65.0,7.78,17.4,12.4,15.11,38.0,27.0,12.7,60.6,50.9,35.7,74.5,32.65,14.2,74.0,12.8,33.9,5.17,14.6,8.69,36.45,29.5,41.8,91.6,102.7,17.4,98.2,56.0,25.75,26.7,15.4,21.75,18.35,10.9,20.5,67.0,4.99,56.0,90.0,21.15,68.0,49.11,20.58,9.2,43.0,55.4,21.0,17.2,16.9,94.0,223.0,20.2,13.2,41.4,37.7,58.0,33.5,22.2,44.15,21.55,6.0,14.6,29.58,24.15,10.3,45.75,10.8,18.2,33.9,23.6,10.8,80.2,37.0,11.4,92.8,34.25,59.8,48.0,11.0,63.8,20.0,4.81,21.5,20.9,30.08,48.5
36.75,24.56,3.5,5.09,8.89,5.59,21.0,20.75,104.5,19.5,27.35,25.3,10.65,3.9,64.81,7.71,17.85,12.1,15.02,36.8,27.0,12.65,60.3,50.8,35.4,72.5,32.6,14.1,71.1,12.8,33.4,5.18,14.4,8.77,36.8,28.4,42.9,90.5,102.7,17.45,96.5,56.1,25.8,26.7,15.95,20.35,18.4,11.0,20.0,68.5,5.0,55.4,90.6,19.8,68.0,50.71,20.88,9.3,43.1,55.5,21.9,16.9,16.8,90.5,214.6,21.15,13.2,41.5,37.7,54.7,33.2,20.75,44.55,21.5,6.18,14.95,29.11,23.7,10.3,45.9,10.8,17.7,33.7,24.2,10.95,80.2,35.4,11.0,92.0,33.45,59.9,47.8,10.98,62.5,20.4,4.8,21.5,20.85,30.08,48.6
37.65,24.56,3.58,5.06,8.87,5.36,22.4,20.15,107.8,19.4,27.35,26.95,11.0,3.93,64.9,7.81,18.4,12.8,15.26,39.1,27.7,13.3,60.3,50.2,35.8,73.0,32.7,14.4,76.0,12.9,33.0,5.34,14.6,8.88,36.9,30.5,43.2,91.0,102.7,17.6,97.5,55.6,25.95,26.4,15.55,21.6,18.25,11.1,21.3,70.1,5.06,54.8,89.8,20.7,70.1,50.81,20.58,9.59,43.5,55.5,20.95,16.65,17.0,89.1,213.0,21.5,13.2,41.5,37.7,58.8,33.65,19.4,45.4,22.3,6.17,14.95,29.39,23.7,10.3,46.1,10.75,17.2,33.55,25.45,10.9,80.2,35.4,11.5,91.1,33.45,60.0,47.9,10.88,63.8,20.2,4.98,21.5,21.3,31.44,48.55
